contest_name,organizer,deadline,link,source_site
제7회 AI·ICT 장애인 보조공학기기 공모전,고용노동부 / 한국장애인고용공단(보조공학센터),2026-06-12,https://www.kead.or.kr/bbs/deptgongji/bbsView.do?pageIndex=1&menuId=MENU0895&bbsCode=deptgongji&bbsCnId=213021,위비티
한화생명금융서비스 WM컨설팅지사 금융영업캠퍼스 1기 모집,한화생명금융서비스,2026-06-12,https://naver.me/5LQ7pW84,위비티
2026 양파 소비 촉진을 위한 대국민 숏폼영상 공모전,농림축산식품부 / 한국농수산식품유통공사,2026-06-13,https://www.at.or.kr/article/apko364000/view.action?articleId=52347,위비티
2026 양파 소비촉진을 위한 대국민 숏폼영상 공모전,자에게 귀속됩니다.,2026-06-13,https://gmail.com,링커리어
2026 뚜비와 함께하는 전국 어린이 민화 글ㆍ그림 공모전,주최사 정보 미상,2026-06-14,https://hanmail.net,링커리어
2026년 장애아동지원센터 별칭 공모전,응모대상,2026-06-14,https://koddi.or.kr,씽굿
KINFA 상생유스 금융교육 봉사단 1기 모집,서민금융진흥원 / (주)엘리트코리아,2026-06-14,https://www.kinfa.or.kr/notificationPromotion/noticeDetail.do?seq=34654,위비티
MUKU SUPER MATCH4 참가자 모집,MUKU,2026-06-14,https://muku.xyz/super-matches/L18tvocMuxCunsuiN5itT,위비티
MUKU supermatch4,MUKU,2026-06-14,https://muku.xyz/super-matches/L18tvocMuxCunsuiN5itT,씽굿
[포스코DX] 제7회 전국 청소년 AI창의 경진대회 2026 AI Youth Challenge,포스코DX / 동아사이언스,2026-06-14,https://yahoo.com,위비티
[한국장애인개발원] 2026년 장애아동지원센터 별칭 공모,주최사 정보 미상,2026-06-14,https://www.koddi.or.kr,링커리어
경기관광공사 여행 인증 캠페인,경기관광공사,2026-06-14,https://naver.me/FvTQBOod,씽굿
서울리거피부과 아임서울(더마코스메틱) 서포터즈11기 모집,서울리거피부과,2026-06-14,https://www.seouleaguer.co.kr/html/main/main.html,위비티
한국기술교육대학교 개교 35주년 기념 AI 굿즈 디자인 공모전,한국기술교육대학교,2026-06-14,https://yahoo.com,위비티
2026 제주 인구정책 몬딱 공모전,제주특별자치도,2026-06-15,https://sotong.go.kr/front/epilogue/epilogueNewViewPage.do?bbs_id=527ba3665ace47f4acf8eba798d16d1f,위비티
2026 청소년 해양영토 토론대회,주최사 정보 미상,2026-06-15,https://ocean.or.kr,링커리어
제10회 소비자지향성 개선과제 공모전,공정거래위원회 / 한국소비자원,2026-06-15,https://kca.conbase.kr/kcacoa,위비티
제36회 김해초선대전국가야금경연대회,김해시,2026-06-15,https://gmail.com,씽굿
2026년 KOICA 공공데이터 활용 챌린지,KOICA(한국국제협력단),2026-06-16,https://koica.go.kr/koica_kr/985/subview.do?enc=Zm5jdDF8QEB8JTJGYmJzJTJGa29pY2Ffa3IlMkYyOTMlMkYzOTA0MDQlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV3JkJTNEJTI2YmJzQ2xTZXElM0QlMjZiYnNPcGVuV3JkU2VxJTNEJTI2cmdzQmduZGVTdHIlM0QlMjZyZ3NFbmR,위비티
[국내산 수산물을 부탁해] 간편식 아이디어 공모전,주최사 정보 미상,2026-06-16,http://korfish.or.kr/notice/?mod=document&pageid=1&uid=2001,링커리어
국내산 수산물을 부탁해 간편식 아이디어 공모전,사단법인 한국수산회,2026-06-16,http://korfish.or.kr/notice/?mod=document&pageid=1&uid=2001,위비티
2026 버터스튜디오 'OO한 하루' 숏폼 공모전,주최사 정보 미상,2026-06-17,https://cbt.linkareer.com,링커리어
2026 제7회 부울경 ICT 창업 아이디어 경진대회,과학기술정보통신부,2026-06-17,https://ictcomplex.ai.kr/bbs/board.php?bo_table=notice≀_id=54,위비티
2026 제7회 부울경 ICT 창업 아이디어 경진대회,"과학기술정보통신부, 정보통신산업진흥원",2026-06-17,https://ictcomplex.ai.kr/ko/,씽굿
2026 제7회 부울경 ICT 창업 아이디어 경진대회,측 사정에 따라 일부 변경될 수 있음,2026-06-17,https://ictcomplex.ai.kr/ko,링커리어
2026 제천한방천연물산업박람회 아이디어 공모전,제천시,2026-06-17,https://jcbio.or.kr,씽굿
2026 제천한방천연물산업박람회 아이디어 공모전,주최사 정보 미상,2026-06-17,http://www.jcbio.or.kr/,링커리어
2026 차세대 여성과학자 글로벌 웨비나,주최사 정보 미상,2026-06-17,http://kwse.or.kr/kor/notice/notice/notice_v.jsp?record_no=1221,링커리어
2026년 괴산군 정책제안 공모전,괴산군,2026-06-17,https://www.epeople.go.kr/cmmn/idea/redirect.do?ideaRegNo=1AE-2605-0000241,위비티
2026제천한방천연물산업박람회 아이디어 공모전,제천한방천연물산업진흥재단,2026-06-17,https://hanbangbiofair.org/bbs/board.php?bo_table=w4_1≀_id=163,위비티
서울드라마어워즈 2026 공식 캐릭터 공모전,주최사 정보 미상,2026-06-17,https://www.seouldrama.org/,링커리어
2026 신나장 개항상권 서포터즈 모집,인천중구문화재단,2026-06-18,https://yahoo.com,위비티
과학기술정보통신부 인공지능주간 공식 AI 어워드 국가 AI 대상 참가 단체 모집,과학기술정보통신부 / 한국인공지능소프트웨어산업협회,2026-06-18,https://www.sw.or.kr/site/sw/ex/board/View.do?cbIdx=292&bcIdx=65534,위비티
대구평생학습플랫폼 디지털 배지(Digital Badges) 명칭 공모,대구광역시행복진흥사회서비스원(대구평생교육진흥원),2026-06-18,https://dle.study.daegu.kr/,씽굿
대구평생학습플랫폼 디지털 배지(Digital Badges) 명칭 공모전,대구광역시행복진흥사회서비스원,2026-06-18,https://dle.study.daegu.kr/portal/posts/BBS_00029/detail/29724,위비티
제27회 제주여성영화제 상영작 출품 공모,주최사 정보 미상,2026-06-18,https://jejuwomen.kr,링커리어
제27회 제주여성영화제 상영작 출품 공모 안내,(사)제주여민회,2026-06-18,https://jejuwomen.kr,씽굿
2026 국제 시각문화 심포지엄 및 국제전 공모,/운영],2026-06-19,https://cicamuseum.com/open-call-isvc-2026/,링커리어
2026 울산조선해양축제 - 기발한 배 콘테스트 (참가비 있음),울산조선해양축제추진위원회,2026-06-19,https://www.ticketlink.co.kr/product/63428,위비티
2026 지방공무원 대상 재난·안전 직무발명 아이디어 공모전,"행정안전부, 대한변리사회",2026-06-19,https://www.mois.go.kr/frt/bbs/type013/commonSelectBoardArticle.do?bbsId=BBSMSTR_000000000006&nttId=125541,위비티
AI 활용 국유재산 홍보 콘텐츠 공모전,주최사 정보 미상,2026-06-19,https://www.kamco.or.kr/portal/bbs/view.do?mId=0701010000&ptIdx=380&bIdx=27486,링커리어
[CJ대한통운] 미래기술챌린지 2026,주최사 정보 미상,2026-06-19,https://teschallenge.cjlogistics.com,링커리어
[조달청] 2026 공공조달데이터·AI 활용 창업경진대회,조달청,2026-06-19,https://www.pps.go.kr/kor/bbs/view.do?bbsSn=2603200015&key=00641,위비티
고령군 2026 군정정책 제안 공모전,고령군,2026-06-19,https://www.goryeong.go.kr/kor/contents.do?IDX=85,위비티
대한민국 '물' 대축전 제5회 전국학생미술실기대회,측에서 제공한 도화지만 사용 가능함.,2026-06-19,https://hanmail.net,링커리어
동래봉생미래관 7행시 공모전,주최사 정보 미상,2026-06-20,https://www.drbs.or.kr/page/main/,링커리어
2026 농어촌 기본소득 숏폼 공모전_6월,주최사 정보 미상,2026-06-21,https://www.spectory.net/contest/share?uid=58968,링커리어
[기획예산처] 재정데이터 분석 대학(원)생 경진대회,기획예산처 / 한국재정정보원,2026-06-21,https://yahoo.com,위비티
서울특별시교육청정독도서관 개관 50주년 기념 슬로건 공모전,서울특별시교육청정독도서관,2026-06-21,https://yahoo.com,위비티
2026 4·16재단 생명안전 학술연구 지원사업,4·16재단,2026-06-22,https://416foundation.org/notice/contest/?uid=3494&mod=document,위비티
2026 생명안전학술연구지원사업 모집,주최사 정보 미상,2026-06-22,https://416foundation.org/notice/contest/?uid=3494&mod=document,링커리어
AI·네트워크 응용분야 아이디어 공모 K-디지털 챌린지 : 넷 챌린지 캠프 시즌13,"과학기술정보통신부 / 한국지능정보사회진흥원, KOREN 연구협력포럼",2026-06-22,https://koren.kr/information/contests/21,위비티
네트워크 응용분야 아이디어 공모 K-디지털 챌린지 : 넷 챌린지 캠프 시즌13,과학기술정보통신부,2026-06-22,https://www.koren.kr,링커리어
서해구시설공단(공단 명칭 변경 예정) CI 공모전,인천광역시 서구시설관리공단,2026-06-22,https://www.issi.or.kr/sub/common_board.asp?ptype=view#=34895&mNo=MA010000000&path_url=/sub/common_board.asp,위비티
서해구시설공단(공단 명칭 변경 예정) CI 공모전,주최사 정보 미상,2026-06-22,https://www.issi.or.kr/sub/common_board.asp?ptype=view&num=34895&mNo=MA010000000&path_url=/sub/common_board.asp,링커리어
음악이 필요한 장단편 영화 주목! 2026제천필름마켓 후반제작지원 공모,제천국제음악영화제,2026-06-22,https://www.jimff.org/kor/default.asp,위비티
2026 문화예술 아이디어 공모전(AI 전환 시대 문화예술생태계 대응 아이디어 공모전),천안문화재단,2026-06-23,https://www.cfac.or.kr/bbs/board.php?bo_table=biz≀_id=838,위비티
세계유산 가야고분군 로컬 관광코스 공모전,가야고분군 / 스마트크리에이터,2026-06-23,https://ainnov.co.kr/gaya/tour,씽굿
세계유산 가야고분군 로컬 관광코스 공모전,주최사 정보 미상,2026-06-23,https://ainnov.co.kr/gaya/tour,링커리어
2026년 장흥군 정책제안 공모전,장흥군,2026-06-24,https://www.epeople.go.kr/cmmn/idea/redirect.do?ideaRegNo=1AE-2605-0000929,위비티
