contest_name,organizer,deadline,link,source_site
[한국관광공사] 대국민 K-관광 여행의 한 수! (8대 관광 전략 대국민 아이디어 공모전),문화체육관광부 / 한국관광공사,2026-05-12,https://survey3.consumerinsight.co.kr/thinkabout/index.php/User,위비티
"제2회 『춘천 한 문장, 봄내글판』 전국 공모전",춘천시청 홍보담당관,2026-05-12,https://forms.gle/QypfLw88N1JJL7Md6,씽굿
"제2회 춘천 한 문장, 봄내글판 전국 공모전",주최사 정보 미상,2026-05-12,https://forms.gle/QypfLw88N1JJL7Md6,링커리어
"제2회 춘천 한 문장, 봄내글판 전국 공모전",춘천시 홍보담당관,2026-05-12,https://www.chuncheon.go.kr/cityhall/administrative-info/notice-info/notice-announcement/view/?notAncmtMgtNo=74622&pageIndex=1#lnk,위비티
"[STK 2026] 제1회 GenAI STK 광고영상 공모전 | Sponsored by NC AI, (주)큐팁",STK 2026 사무국,2026-05-13,https://smarttechkorea.com/,위비티
[UN산업개발기구] ENVEX 2026 통역자원봉사자 모집,유엔산업개발기구 한국투자진흥사무소(UNIDO ITPO Korea),2026-05-13,https://vo.la/HDynhd5,위비티
[대한민국시도지사협의회] 지방시대 숏폼 영상 공모전,대한민국시도지사협의회,2026-05-13,https://www.gaok.or.kr/front/viewAritcle.do?bbsId=BBS_0001&nttId=30375,위비티
건설근로자공제회 서포터즈 6기 모집,건설근로자공제회,2026-05-13,https://blog.naver.com/cwmaphoto/224262725487,위비티
해수호 기자단 5기 모집,한국해양교통안전공단,2026-05-13,https://komsa.or.kr/bbs/BBSMSTR_000000000738/view.do?nttId=B000000029907Qk4rF0,위비티
2026 그린바이오 기후테크 글로벌 프렉티컬 프로젝트 공모전,교육부 / 그린바이오 COSS 사업단,2026-05-14,https://nextstep.io.kr/greenbio,위비티
2026 그린바이오 기후테크 글로벌 프렉티컬 프로젝트 공모전,"그린바이오 컨소시엄 5개 대학(충남대학교, 서울대학교, 경희대학교, 전남대학교, 연암대학교)",2026-05-14,https://nextstep.io.kr/greenbio,씽굿
2026 그린바이오 기후테크 글로벌 프렉티컬 프로젝트 공모전,주최사 정보 미상,2026-05-14,https://nextstep.io.kr/greenbio,링커리어
2026년 제1회 안성시 시정발전 제안공모전,안성시,2026-05-14,https://www.epeople.go.kr/cmmn/idea/redirect.do?ideaRegNo=1AE-2604-0001294,위비티
6주 만에 책을 내고 작가가 되세요! ! 누구나 참여 가능합니다! 56기 모집,글ego,2026-05-14,https://www.egowriting.com,위비티
[2026년 S:THE 청춘 숏드라마 사연 공모전(1차)] < 제목 : 반창고가 필요한 스물에게 >,에스더 스튜디오,2026-05-14,https://forms.gle/w5oaasTvSw2PXCF68,씽굿
[2026년 S:THE 청춘 숏드라마 사연 공모전(1차)] < 제목 : 반창고가 필요한 스물에게 >,측과 협의 후 양도됩니다.,2026-05-14,https://sthestudio.netlify.app/,링커리어
[추천공모전] 제5회 고용노동 공공데이터·AI 활용 공모전(~5.14.),·,2026-05-14,https://www.2026datacontest.co.kr/,링커리어
김포시 백마도 및 한강 철책제거 수변 공간 활용 시민 아이디어 공모전,김포시,2026-05-14,https://www.gimpo.go.kr/portal/ntfcPblancView.do?not_ancmt_mgt_no=73882&key=1004&pageIndex=1&cha_dep_code=&searchCnd=40900000000&cate_cd=1,위비티
2026 우주항공·제조 산업 현장 AI 적용 아이디어 공모전,"중소벤처기업부, 중소벤처기업진흥공단, 경상남도, 경남테크노파크, 경상국립대학교, 경상국립대학교 인공지능 시스템 및 응용 연구실",2026-05-15,http://aisaapp.duckdns.org:3009/pages/idea-overview.html,위비티
2026 제조 AI 경진대회,주최사 정보 미상,2026-05-15,https://docs.google.com/forms/d/e/1FAIpQLSeshiJ7LduGo4VxUQ3gQnz-_PyUoRNc7CC1BClRtu17VChmjw/viewform,링커리어
2026 제조 AI 경진대회,"중소벤처기업부, 중소벤처기업진흥공단, 경상남도, 경남테크노파크, 경상국립대학교, 경상국립대학교 인공지능 시스템 및 응용 연구실",2026-05-15,http://aisaapp.duckdns.org:3009/pages/overview.html,씽굿
2026 제조AI 경진대회,"중소벤처기업부, 중소벤처기업진흥공단, 경상남도, 경남테크노파크, 경상국립대학교, 경상국립대학교 인공지능 시스템 및 응용 연구실",2026-05-15,http://aisaapp.duckdns.org:3009/pages/overview.html,위비티
2026년 상반기 남원시 시정발전 제안 공모,남원시,2026-05-15,https://www.epeople.go.kr/cmmn/idea/redirect.do?ideaRegNo=1AE-2604-0000783,위비티
2026년 포항시 고향사랑기부제 기금사업 아이디어 공모,포항시,2026-05-15,https://www.pohang.go.kr/portal/saeol/gosi/view.do?notAncmtMgtNo=72001∣=0202010000,위비티
[고성문화재단] 2026 아트케이션 고성(강원) 참여 예술가 모집 공고,고성문화재단,2026-05-15,https://www.facebook.com/thinkgood.contest,씽굿
[고성문화재단] 2026 아트케이션 고성(강원) 참여 예술가 모집 공고,주최사 정보 미상,2026-05-15,https://docs.google.com/forms/d/e/1FAIpQLSeshiJ7LduGo4VxUQ3gQnz-_PyUoRNc7CC1BClRtu17VChmjw/viewform,링커리어
[아이들과미래재단] 느린학습 아동 교육지원사업 천천히 함께 2026년 부산 지역 멘토 추가 모집,유니클로 / 아이들과미래재단,2026-05-15,https://slowtogether.or.kr,위비티
[한국효문화센터] 제18회 전국 세대공감 사랑과 효 청소년 글·그림·엽서 공모전,주최사 정보 미상,2026-05-15,https://www.hyo-culture.kr/default/co/co01.php?com_board_basic=read_form&com_board_idx=349&sub=01&&com_board_search_code=&com_board_search_value1=&com_board_search_value2=&com_board_page=&&com_board_id=1&&com_board_id=1,링커리어
나만의 뱃놀이 - 제16회 화성뱃놀이축제 숏폼 영상 제작 공모,"측은 수상작에 한하여 홍보 목적(복제, 배포, 전시, 2차 저작물 제작 등)으로 활용할 수 있습니다.",2026-05-15,https://docs.google.com/forms/d/e/1FAIpQLSeshiJ7LduGo4VxUQ3gQnz-_PyUoRNc7CC1BClRtu17VChmjw/viewform,링커리어
레트로 걸그룹 <미니마니> 2기 오디션,CMG초록별,2026-05-15,https://otr.co.kr/audition/?vid=20757,씽굿
우주항공 × 제조산업 AI 적용 아이디어 공모전,"중소벤처기업부, 중소벤처기업진흥공단, 경상남도, 경남테크노파크, 경상국립대학교, 경상국립대학교 인공지능 시스템 및 응용 연구실",2026-05-15,http://aisaapp.duckdns.org:3009/pages/idea-overview.html,씽굿
제18회 전국 세대공감 사랑과 효 청소년 글·그림·엽서 공모전,사단법인 한국효문화센터,2026-05-15,https://www.hyo-culture.kr/default/co/co01.php?com_board_basic=read_form&com_board_idx=349⊂=01&&com_board_search_code=&com_board_search_value1=&com_board_search_value2=&com_board_page=&&com_board_id=1&&com_board_id=1,위비티
청년인권포럼 「그건 아니지」 사례 공모,전북 사잇길 청년인권영화제,2026-05-15,https://docs.google.com/forms/d/e/1FAIpQLSd8dKEzKHtMeUVV5bayelxDograFJpaKhKf0xbS3cg-XkbKHA/viewform,씽굿
티머니GO 대중교통 서비스 아이디어 공모전,주최사 정보 미상,2026-05-15,https://www.tmoney.co.kr/,링커리어
티머니GO 대중교통 아이디어 공모전,티머니GO,2026-05-15,https://blog.naver.com/dailytravel12/224262323342,위비티
2026 사연 공모 프로젝트《기분이 시켜서 했습니다》,주최사 정보 미상,2026-05-16,https://sthestudio.netlify.app/,링커리어
2026 대학생 유튜브 숏폼 광고 공모전,LG이노텍,2026-05-17,https://news.lginnotek.com/1638,위비티
2026 현대오토에버 배리어프리 앱 개발 콘테스트 공모전,"현대오토에버, 서울사회복지공동모금회 / 사단법인 그린라이트",2026-05-17,https://www.autoeverapp.kr/,위비티
KIADA2026 서포터즈 키아다즈 10기 모집,사단법인 빛소리친구들 / 대한민국장애인국제무용제 조직위원회,2026-05-17,https://www.kiada.co.kr/sub05/sub01.php,위비티
[과학기술정보통신부] 2026 글로벌 피우다프로젝트 (SW개발 경진대회),"과학기술정보통신부 / 정보통신산업진흥원, 전국ICT콤플렉스 운영기관",2026-05-17,https://ictinnovation.kr/,위비티
[대한체육회] 2026년도 제1기 KSOC 기자단 모집,대한체육회 / 스포츠인,2026-05-17,https://www.sports.or.kr/sports/bbs/BMSR00017/view.do?boardId=72406&menuNo=200023,위비티
[현대자동차그룹] 2026 해피무브 글로벌 청년봉사단 모집,현대자동차그룹,2026-05-17,https://www.happymove.kr/,위비티
전남광주통합특별시 임시 CI 디자인 공모전,주최사 정보 미상,2026-05-17,https://www.jeonnam.go.kr/contentsView.do?menuId=jeonnam0101140100,링커리어
카카오페이 오래오래 함께가게 앰버서더 오래메이트 1기 모집,카카오페이,2026-05-17,https://kakaopaytogether.com/article/%EA%B3%B5%EC%A7%80%EC%82%AC%ED%95%AD/1/723768/,위비티
K-MMM26 고혈압 캠페인 유튜브 영상 공모전,주최사 정보 미상,2026-05-18,https://api.linkareer.com/attachments/830918,링커리어
KOSSDA 대학생 시각화 공모전 2026,서울대학교 한국사회과학자료원,2026-05-18,https://kossda.snu.ac.kr/news?id=2031,위비티
KOSSDA 대학생 시각화 공모전 2026 《데이터로 읽는 한국 사회 : 변화와 미래를 그리다》,서울대학교 한국사회과학자료원,2026-05-18,https://forms.gle/rioML8B2XeQxyGq97,씽굿
리듬게임 '위치스 라운지' BGM 공모전 레모네이션 (~5/18까지),레몬사운드,2026-05-18,https://www.lemonsound.co/lemonation/witch-s-lounge-fgbden67,씽굿
제 1회 강릉시발달장애 미술사생대회,주최사 정보 미상,2026-05-18,https://docs.google.com/forms/d/e/1FAIpQLSeshiJ7LduGo4VxUQ3gQnz-_PyUoRNc7CC1BClRtu17VChmjw/viewform,링커리어
한화생명 드림플러스 인베스터 클럽 2기 모집,한화생명 드림플러스,2026-05-18,https://vo.la/HDynhd5,위비티
2026 AI Pilot Top Gun Challenge,한국항공대학교 SW중심대학사업단,2026-05-19,https://forms.gle/9BdJ3mu7CkkripRYA,씽굿
2026년 제15회 한국인터넷거버넌스포럼(KrIGF) 포스터 세션 공모,다자간인터넷거버넌스협의회(KIGA) / 한국인터넷거버넌스포럼(KrIGF),2026-05-19,http://apply.krigf.org:3000,위비티
2026년 제15회 한국인터넷거버넌스포럼(KrIGF) 포스터 세션 공모,주최사 정보 미상,2026-05-19,https://igf.or.kr,링커리어
2026년 제1회 구리시 정책제안 공모전,경기도 구리시,2026-05-19,https://www.epeople.go.kr/cmmn/idea/redirect.do?ideaRegNo=1AE-2604-0001170,위비티
2026년 제1회 구리시 정책제안 공모전,주최사 정보 미상,2026-05-19,https://www.epeople.go.kr/nep/thk/pbsb/PbsbsrpnPrpslDetail.npaid,링커리어
2026 관광데이터 활용 공모전 : 생성형 AI 활용 관광 프롬프톤 부문,한국관광공사,2026-05-20,https://www.facebook.com/thinkgood.contest,씽굿
