공모전이름,주최사,마감일,링크
[bbb 코리아] 제34기 bbb 프로보노 청년 봉사단 모집,bbb코리아,정보 없음,정보 없음
"[삼전종합사회복지관] 장애,비장애청소년 통합활동 대학생 서포터즈 모집",삼전종합사회복지관,정보 없음,정보 없음
2026 우리동네 이야기채널 온화 프로젝트 시즌5 대학생 서포터즈 모집,방배노인종합복지관,정보 없음,정보 없음
2027 함양방문의 해 함양관광 아이디어 공모전,함양군,정보 없음,정보 없음
"SK 이노베이션, 「AI 임팩트 솔루션」 지원사업",SK,정보 없음,정보 없음
[경상북도] 2026 경상북도 한복창작해커톤대회,경상북도 / 주관: 경북문화재단 한국한복진흥원,정보 없음,정보 없음
[아산시] 아산형 기본사회 정책 아이디어 공모전,주최사 정보 미상,정보 없음,정보 없음
[한국프로세스혁신협회] 서랍 속 썩어가는 포트폴리오 심폐소생 공모전 | 골든타임 대작전,주최사 정보 미상,정보 없음,정보 없음
서랍 속 썩어가는 포트폴리오 심폐소생 공모전 : 골든타임 대작전,한국프로세스혁신협회,정보 없음,정보 없음
제24회 부여서동연꽃축제 「서동 나이트 퍼레이드」 음원 공모전,레몬사운드,정보 없음,정보 없음
"제27회 박재삼문학제 및 제13회 박재삼문학상 (청소년문학상, 시 백일장, 시 엽서 공모전)",박재삼문학상운영위원회,정보 없음,정보 없음
제5기 계룡소담(SNS 홍보 서포터즈) 모집,계룡시청,정보 없음,정보 없음
2026 경상북도 한복창작해커톤대회,경상북도,정보 없음,정보 없음
2026 광주광역시 지역장애인보건의료센터 제1기 서포터즈 모집,광주광역시 지역장애인보건의료센터,정보 없음,정보 없음
2026년 경상남도 규제 개선과제 공모전,경상남도,정보 없음,정보 없음
2026년 국민생각함 정책 아이디어 공모전,국민권익위원회,정보 없음,정보 없음
2026년 군포시 정기 제안 공모,군포시,정보 없음,정보 없음
2027년도 경남 사천시 고향사랑 기금사업 아이디어 제안 공모전,경상남도 사천시,정보 없음,정보 없음
[성동구자원봉사센터] 성동구 자원봉사 기록 공모전,성동구자원봉사센터,정보 없음,정보 없음
아산형 기본사회 정책 아이디어 공모전,아산시,정보 없음,정보 없음
전라남도교육청 2026 전남학생교육수당 활용사례 공모전,전라남도교육청,정보 없음,정보 없음
제1회 대구 동구 청년 창업 아이디어 경진대회 참가자 모집,대구동구청,정보 없음,정보 없음
제1회 세종특별자치시 AI 혁신 경진대회 (전국민 대상 AI 혁신 아이디어 공모전),세종특별자치시,정보 없음,정보 없음
제7회 AI·ICT 장애인 보조공학기기 공모전,고용노동부,정보 없음,정보 없음
한화생명금융서비스 WM컨설팅지사 금융영업캠퍼스 1기 모집,한화생명금융서비스,정보 없음,정보 없음
2026 뚜비와 함께하는 전국 어린이 민화 글ㆍ그림 공모전,박물관 · 수,정보 없음,정보 없음
2026 제주 인구정책 ‘몬딱’ 공모전,제주특별자치도,정보 없음,정보 없음
2026 청소년 해양영토 토론대회,주최사 정보 미상,정보 없음,정보 없음
KINFA 상생유스 금융교육 봉사단 1기 모집 신규,서민금융진흥원,정보 없음,정보 없음
[포스코DX] 제7회 전국 청소년 AI창의 경진대회 2026 AI Youth Challenge,포스코DX,정보 없음,정보 없음
[한전KDN] 2026년도 산업안전 포스터 공모전,주최사 정보 미상,정보 없음,정보 없음
롯데월드타워·몰 JAMSIL CREW 1기 서포터즈 모집,롯데물산,정보 없음,정보 없음
선진포크 릴스&쇼츠 콘텐츠 제작 서포터즈 22기 모집,선진포크,정보 없음,정보 없음
제1회 서울청소년실험영화제 작품 공모,],정보 없음,정보 없음
진라면 진앤지니 18기 고투 진! (Go-To Jin!) 모집,오뚜기,정보 없음,정보 없음
한국기술교육대학교 개교 35주년 기념 AI 굿즈 디자인 공모전,한국기술교육대학교,정보 없음,정보 없음
2026 제주 인구정책 몬딱 공모전,제주특별자치도,정보 없음,정보 없음
[국내산 수산물을 부탁해] 간편식 아이디어 공모전,사단법인 한국수산회,정보 없음,정보 없음
[국내산 수산물을 부탁해] 간편식 아이디어 공모전,주최사 정보 미상,정보 없음,정보 없음
[한전KDN] 2026년도 산업안전 포스터 공모전,한전KDN,정보 없음,정보 없음
제 1회 청소년실험영화제 작품 공모,청소년실험영화제 사무국,정보 없음,정보 없음
제10회 소비자지향성 개선과제 공모전 IDEA,공정거래위원회,정보 없음,정보 없음
2026 룬샷 경진대회 난제 해결방안 제안서 공모,국방과학연구소,정보 없음,정보 없음
2026 부산대표 관광기념품 공모전,부산관광공사,정보 없음,정보 없음
2026 제14회 경기정원문화박람회 상상정원 작품 공모전,),정보 없음,정보 없음
2026 제14회 경기정원문화박람회 작가정원 작품 공모전,),정보 없음,정보 없음
2026 차세대 여성과학자 글로벌 웨비나,대한여성과학기술인회,정보 없음,정보 없음
2026 차세대 여성과학자 글로벌 웨비나,주최사 정보 미상,정보 없음,정보 없음
